date,SPY,VLUE,QUAL,SIZE,MTUM,USMV
2013-07-22,169.5,54.78,50.0,54.0,54.419,33.935
2013-07-29,168.59,54.63,50.05,53.75,54.6,33.83
2013-08-05,170.7,55.31,50.73,54.48,55.0,33.98
2013-08-09,169.31,54.85,50.378,54.18,54.522,33.83
2013-08-15,166.38,54.01,49.46,52.96,53.038,33.12
2013-08-19,164.77,53.58,49.26,52.53,52.7,32.76
2013-08-26,166.0,54.11,49.89,53.12,53.05,32.97
2013-09-06,166.04,53.9,50.02,52.82,52.99,32.78
2013-09-09,167.634,53.9,50.3,53.0394,53.37,33.04
2013-09-10,168.87,54.61,50.59,53.38,53.74,33.25
2013-09-19,172.76,55.83,52.07,54.94,55.41,34.2
2013-09-30,168.01,54.15,50.78,53.49,53.88,33.232
2013-10-02,169.18,54.23,51.108,53.62,54.37,33.34
2013-10-03,167.62,54.04,50.74,53.306,53.85,33.07
2013-10-08,165.48,53.61,49.8,53.37,53.19,32.78
2013-10-09,165.6,53.4,49.84,52.93,52.99,32.8
2013-10-11,170.26,54.82,51.0,54.14,54.585,33.57
2013-10-14,170.94,55.19,51.39,53.98,54.76,33.65
2013-10-16,172.07,55.56,51.74,54.565,55.4396,33.955
2013-10-21,174.4,56.2979,52.54,55.33,56.2,34.37
2013-10-28,176.23,56.7,53.21,55.92,57.04,34.89
2013-10-29,177.17,56.92,53.55,56.1001,57.383,35.1
2013-11-01,176.21,56.5,53.2937,55.94,57.03,34.9
2013-11-04,176.83,56.88,53.53,56.11,56.8934,34.99
2013-11-11,177.32,57.25,53.74,55.996,56.66,34.91
2013-11-21,179.91,57.99,54.87,56.45,57.84,35.29
2013-11-25,180.63,58.3399,55.0,56.649,58.48,35.39
2013-12-03,179.75,57.87,55.05,56.18,58.09,35.04
2013-12-06,180.94,58.35,55.27,56.57,58.47,35.23
2013-12-09,181.4,58.639,55.44,56.81,58.57,35.19
2013-12-12,178.13,57.65,54.536,55.7377,57.78,34.52
2013-12-13,178.11,57.58,54.41,55.87,58.09,34.54
2013-12-16,179.216,57.98,54.77,56.1407,58.3,34.65
2013-12-17,178.65,57.89,54.56,56.1407,58.319,34.52
2013-12-18,181.7,58.45,55.3367,56.0,59.11,35.12
2013-12-19,181.49,58.45,55.43,56.55,59.32,35.08
2013-12-20,181.56,59.03,55.8,56.55,59.69,35.22
2013-12-23,182.53,58.89,55.92,56.92,59.7399,35.1
2013-12-24,182.93,58.89,56.03,57.16,59.82,35.195
2013-12-26,183.855,59.342,56.39,57.171,60.1332,35.314
2013-12-27,183.845,59.38,56.3,57.41,59.85,35.33
2013-12-30,183.82,59.36,56.3,57.41,59.75,35.44
2013-12-31,184.69,59.544,56.52,57.52,60.03,35.5
2014-01-02,182.92,59.21,56.1,57.52,59.41,35.15
2014-01-03,182.885,59.14,55.99,57.2099,59.51,35.14
2014-01-06,182.36,59.13,55.77,57.2099,59.38,35.06
2014-01-07,183.48,59.46,56.22,57.22,59.87,35.26
2014-01-09,183.64,59.33,56.1699,57.1,60.42,35.3
2014-01-13,181.685,59.11,55.51,57.51,59.478,35.11
2014-01-14,183.67,59.3,56.15,57.24,60.39,35.32
2014-01-15,184.66,59.68,56.43,57.5999,60.39,35.3934
2014-01-16,184.42,59.3899,56.46,57.47,60.43,35.41
2014-01-17,183.635,59.26,56.31,57.41,60.11,35.3561
2014-01-22,184.3,59.43,56.39,57.71,60.86,35.3675
