Date,SPX_Index,Large_Value_Index,Small_Growth_Index,EAFE_Index,EM_Index
1/4/2016,5354.0957,1603.7525,766.007,2877.0636,1282.8412
1/5/2016,5364.8695,1607.9925,765.9825,2868.2012,1284.0032
1/6/2016,5296.4108,1582.6562,752.3688,2839.3154,1269.5501
1/7/2016,5171.0233,1546.4457,731.4764,2792.3065,1234.5945
1/8/2016,5114.9942,1527.4267,718.2076,2771.9783,1236.626
1/11/2016,5119.3586,1526.9566,712.6044,2755.1507,1208.7532
1/12/2016,5159.3304,1534.2315,718.6859,2742.4627,1208.5163
1/13/2016,5031.1043,1502.0329,692.0139,2774.1478,1219.1275
1/14/2016,5115.1938,1526.4416,704.7627,2725.7363,1208.4204
1/15/2016,5004.9241,1492.4368,692.4617,2693.9655,1185.0925
1/18/2016,5004.9241,1492.4368,692.4617,2664.0696,1175.4368
1/19/2016,5007.599,1488.6235,681.8205,2693.9331,1193.7516
1/20/2016,4949.7864,1463.7158,688.5138,2612.5576,1157.6401
1/21/2016,4975.6606,1472.3325,686.1058,2613.8718,1150.5927
1/22/2016,5076.5854,1501.0332,703.0115,2699.5235,1187.5911
1/25/2016,4997.2392,1471.957,688.1832,2699.8505,1196.7068
1/26/2016,5067.9239,1500.7853,698.7481,2702.6951,1183.757
1/27/2016,5013.2086,1493.3134,684.364,2729.5622,1196.5607
1/28/2016,5041.3718,1498.9868,679.981,2711.0791,1207.0058
1/29/2016,5166.2919,1540.3354,702.028,2740.1949,1240.6642
2/1/2016,5164.1598,1535.0702,702.4256,2763.7997,1241.3526
2/2/2016,5067.5102,1503.7279,684.9032,2722.4849,1217.9864
2/3/2016,5094.5468,1517.4024,683.6969,2704.7639,1206.1868
2/4/2016,5103.3598,1524.2699,686.9543,2728.8124,1236.1125
2/5/2016,5009.2973,1504.4831,660.8713,2698.6523,1236.2519
2/8/2016,4938.8783,1483.5817,644.2108,2650.3068,1227.0921
2/9/2016,4936.6296,1478.8585,641.7621,2610.3447,1220.0176
2/10/2016,4937.3818,1475.8266,642.0477,2605.0112,1221.196
2/11/2016,4877.5753,1451.4151,638.3072,2576.544,1191.879
2/12/2016,4973.3133,1484.9749,650.1748,2571.4439,1188.8702
2/15/2016,4973.3133,1484.9749,650.1748,2651.6319,1214.9797
2/16/2016,5057.1104,1508.524,668.3273,2653.5452,1222.5806
2/17/2016,5140.9635,1531.8331,682.2794,2687.5861,1229.9354
2/18/2016,5117.2505,1528.1657,674.7227,2705.8353,1247.533
2/19/2016,5117.8576,1525.3926,680.1295,2685.749,1238.9742
2/22/2016,5191.8403,1549.7961,688.53,2713.5978,1253.141
2/23/2016,5127.4983,1528.2733,681.7668,2690.4255,1245.3975
2/24/2016,5150.5292,1534.4592,690.0511,2644.1239,1231.8325
2/25/2016,5210.2153,1552.8067,695.5252,2683.4831,1230.0229
2/26/2016,5201.0702,1552.0462,700.7473,2690.3482,1237.8344
2/29/2016,5159.3303,1539.9466,696.9977,2690.8926,1238.4012
3/1/2016,5282.5633,1573.8258,711.7491,2715.6669,1259.4917
3/2/2016,5305.1561,1588.7628,718.4039,2756.0867,1286.5988
3/3/2016,5324.2676,1598.8238,723.8122,2786.279,1305.2121
3/4/2016,5341.9939,1607.2494,727.7254,2815.9644,1323.2607
3/7/2016,5347.075,1615.7524,735.343,2805.448,1330.4095
