Date,SPX_Index,Large_Value_Index,Small_Growth_Index,EAFE_Index,EM_Index,AGG_Index,IG_Corps_Index,Tsy_Index,MBS_Index,Muni_Index,SPX_ETF,Large_Value_ETF,Small_Growth_ETF,EAFE_ETF,EM_ETF,AGG_ETF,IG_Corps_ETF,Tsy_ETF,MBS_ETF,Muni_ETF
2/1/1980,115.12,65.848,53.149,182.71,#N/A N/A,119.35,128.37,123.22,116.7,99.8098,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/4/1980,114.37,65.848,53.149,183.11,#N/A N/A,119.35,128.37,123.22,116.7,99.8098,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/5/1980,114.66,65.848,53.149,183.37,#N/A N/A,119.35,128.37,123.22,116.7,99.8098,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/6/1980,115.72,65.848,53.149,184.4,#N/A N/A,119.35,128.37,123.22,116.7,99.8098,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/7/1980,116.28,65.848,53.149,186.31,#N/A N/A,119.35,128.37,123.22,116.7,99.8098,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/8/1980,117.95,65.848,53.149,186.85,#N/A N/A,119.35,128.37,123.22,116.7,99.8098,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/11/1980,117.12,65.848,53.149,188.67,#N/A N/A,119.35,128.37,123.22,116.7,99.8098,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/12/1980,117.9,65.848,53.149,188.26,#N/A N/A,119.35,128.37,123.22,116.7,99.8098,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/13/1980,118.44,65.848,53.149,189.42,#N/A N/A,119.35,128.37,123.22,116.7,99.8098,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/14/1980,116.72,65.848,53.149,189.68,#N/A N/A,119.35,128.37,123.22,116.7,99.8098,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
