Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,cape,tr_cape
1871.01,4.44,0.26,0.4,12.46,1871.04,5.32,89.78,5.26,89.78,8.09,8.09,,
1871.02,4.5,0.26,0.4,12.84,1871.13,5.32,88.29,5.1,88.72,7.85,7.89,,
1871.03,4.61,0.26,0.4,13.03,1871.21,5.33,89.13,5.03,89.98,7.73,7.81,,
1871.04,4.74,0.26,0.4,12.56,1871.29,5.33,95.11,5.22,96.46,8.03,8.14,,
1871.05,4.86,0.26,0.4,12.27,1871.38,5.33,99.79,5.34,101.65,8.21,8.37,,
1871.06,4.82,0.26,0.4,12.08,1871.46,5.34,100.53,5.42,102.87,8.34,8.54,,
1871.07,4.73,0.26,0.4,12.08,1871.54,5.34,98.65,5.42,101.41,8.34,8.58,,
1871.08,4.79,0.26,0.4,11.89,1871.63,5.34,101.5,5.51,104.81,8.48,8.75,,
1871.09,4.84,0.26,0.4,12.18,1871.71,5.35,100.16,5.38,103.88,8.28,8.59,,
1871.10,4.59,0.26,0.4,12.37,1871.79,5.35,93.52,5.3,97.46,8.15,8.49,,
1871.11,4.64,0.26,0.4,12.37,1871.88,5.35,94.54,5.3,98.98,8.15,8.53,,
1871.12,4.74,0.26,0.4,12.65,1871.96,5.36,94.4,5.18,99.29,7.97,8.38,,
1872.01,4.86,0.26,0.4,12.65,1872.04,5.36,96.79,5.24,102.26,8.02,8.47,,
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,97.19,5.31,103.15,8.07,8.56,,
1872.03,5.04,0.27,0.41,12.84,1872.21,5.4,98.89,5.3,105.42,8,8.52,,
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,99.42,5.25,106.46,7.87,8.43,,
1872.05,5.18,0.28,0.41,13.13,1872.38,5.43,99.42,5.31,106.93,7.92,8.52,,
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,99.18,5.41,107.16,8.02,8.67,,
1872.07,5.1,0.28,0.42,12.84,1872.54,5.47,100.06,5.56,108.61,8.19,8.89,,
1872.08,5.04,0.29,0.42,12.94,1872.63,5.49,98.16,5.58,107.05,8.18,8.92,,
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,95.7,5.61,104.88,8.17,8.95,,
1872.10,4.97,0.29,0.43,12.75,1872.79,5.53,98.24,5.8,108.19,8.4,9.25,,
1872.11,4.95,0.3,0.43,13.13,1872.88,5.54,95.01,5.69,105.15,8.21,9.08,,
1872.12,5.07,0.3,0.43,12.94,1872.96,5.56,98.74,5.84,109.83,8.37,9.31,,
1873.01,5.11,0.3,0.43,12.94,1873.04,5.58,99.52,5.89,111.24,8.42,9.41,,
1873.02,5.15,0.31,0.44,13.23,1873.13,5.57,98.14,5.81,110.23,8.29,9.31,,
1873.03,5.11,0.31,0.44,13.23,1873.21,5.56,97.38,5.86,109.92,8.34,9.41,,
1873.04,5.04,0.31,0.44,13.23,1873.29,5.55,96.04,5.91,108.97,8.38,9.51,,
1873.05,5.05,0.31,0.44,12.94,1873.38,5.54,98.36,6.09,112.17,8.62,9.83,,
1873.06,4.98,0.32,0.45,12.56,1873.46,5.53,99.93,6.32,114.57,8.93,10.24,,
1873.07,4.97,0.32,0.45,12.56,1873.54,5.53,99.73,6.37,114.95,8.98,10.35,,
1873.08,4.97,0.32,0.45,12.56,1873.63,5.52,99.73,6.42,115.57,9.03,10.46,,
1873.09,4.59,0.32,0.45,12.56,1873.71,5.51,92.1,6.47,107.36,9.08,10.58,,
1873.10,4.19,0.33,0.46,12.27,1873.79,5.5,86.03,6.67,100.93,9.34,10.96,,
1873.11,4.04,0.33,0.46,11.89,1873.88,5.49,85.61,6.94,101.11,9.69,11.45,,
1873.12,4.42,0.33,0.46,12.18,1873.96,5.48,91.47,6.83,108.7,9.52,11.31,,
1874.01,4.66,0.33,0.46,12.37,1874.04,5.47,94.95,6.72,113.5,9.37,11.2,,
1874.02,4.8,0.33,0.46,12.37,1874.13,5.44,97.8,6.72,117.58,9.37,11.27,,
1874.03,4.73,0.33,0.46,12.37,1874.21,5.4,96.37,6.72,116.54,9.37,11.33,,
1874.04,4.6,0.33,0.46,12.18,1874.29,5.37,95.19,6.83,115.8,9.52,11.58,,
1874.05,4.48,0.33,0.46,12.08,1874.38,5.34,93.44,6.88,114.36,9.59,11.74,,
1874.06,4.46,0.33,0.46,11.8,1874.46,5.3,95.27,7.05,117.32,9.83,12.1,,
1874.07,4.46,0.33,0.46,11.89,1874.54,5.27,94.51,6.99,117.1,9.75,12.08,,
1874.08,4.47,0.33,0.46,11.8,1874.63,5.24,95.48,7.05,119.04,9.83,12.25,,
1874.09,4.54,0.33,0.46,11.8,1874.71,5.2,96.98,7.05,121.64,9.83,12.32,,
1874.10,4.53,0.33,0.46,11.61,1874.79,5.17,98.35,7.16,124.11,9.99,12.6,,
1874.11,4.57,0.33,0.46,11.51,1874.88,5.14,100.04,7.22,127,10.07,12.78,,
1874.12,4.54,0.33,0.46,11.51,1874.96,5.1,99.38,7.22,126.93,10.07,12.86,,
1875.01,4.54,0.33,0.45,11.51,1875.04,5.07,99.38,7.17,127.69,9.89,12.7,,
1875.02,4.53,0.33,0.44,11.51,1875.13,5.03,99.16,7.11,128.17,9.7,12.54,,
1875.03,4.59,0.32,0.44,11.51,1875.21,4.99,100.48,7.06,130.63,9.52,12.38,,
1875.04,4.65,0.32,0.43,11.61,1875.29,4.95,100.96,6.95,132,9.26,12.11,,
